percentile,method,cluster,metric,n_years,center_lat,center_lon,slope_per_decade,slope_lo_per_decade,slope_hi_per_decade,slope_pct_per_decade,intercept,intercept_at_x0,mk_tau,mk_p,mk_trend,stars
99,HDBSCAN,0,bg_mean,24,20.222585678100586,-13.805469512939453,-0.5339515209197998,-1.1892127990722656,0.22931884316837087,-4.841824012894263,118.53903895616531,11.641944468021393,-0.2246376811594203,0.13026223878322818,no trend,n.s.
99,HDBSCAN,0,peak_mean,24,20.222585678100586,-13.805469512939453,-5.396990750562698,-16.728086471557617,2.7700653076171875,-10.778399234348992,1136.7563723242856,56.278824061633486,-0.2028985507246377,0.1724913614849526,no trend,n.s.
99,HDBSCAN,0,integrated_chl,24,20.222585678100586,-13.805469512939453,-137.328857421875,-336.9050736860795,46.92213270399306,-13.637131587310694,28658.187017822267,1164.9497619628928,-0.2318840579710145,0.11812849523841984,no trend,n.s.
99,HDBSCAN,1,bg_mean,24,22.8134708404541,-16.127166748046875,0.6514396837779455,-0.08845710754394531,1.41575119712136,9.070640816490215,-123.98553180268834,6.432692889656323,0.2391304347826087,0.10689967587922089,no trend,n.s.
99,HDBSCAN,1,peak_mean,24,22.8134708404541,-16.127166748046875,1.7409406011066741,0.30647777375720797,2.493875676935369,14.677115671581086,-338.67679106432297,9.85951727723318,0.35507246376811596,0.01612706871178249,increasing,*
99,HDBSCAN,1,integrated_chl,24,22.8134708404541,-16.127166748046875,58.55642530653212,17.945774623325892,100.2069091796875,12.604485658772902,-11325.768089718289,397.2282566494414,0.37681159420289856,0.010623249592075945,increasing,*
99,HDBSCAN,2,bg_mean,24,15.136399269104004,-16.78135108947754,-0.12361128540600047,-1.0887830598013741,0.8967307897714469,-1.5066831979291488,33.093331153778465,8.346351815497172,-0.043478260869565216,0.7849697273207377,no trend,n.s.
99,HDBSCAN,2,peak_mean,24,15.136399269104004,-16.78135108947754,-1.85821533203125,-3.663528760274251,-0.4465675354003906,-10.443085617512663,391.9453954696655,19.930685997009277,-0.38405797101449274,0.009201853955849826,decreasing,**
99,HDBSCAN,2,integrated_chl,24,15.136399269104004,-16.78135108947754,-371.91702794547035,-719.282459077381,-96.1982421875,-10.047138763519452,78587.21440201577,4129.425407332616,-0.37681159420289856,0.010623249592075945,decreasing,*
99,K-means,0,bg_mean,24,22.394287109375,-15.854793548583984,0.37270069122314453,-0.1774241707541726,1.0775885581970215,4.927658721885328,-67.47984051704407,7.134837865829468,0.2318840579710145,0.11812849523841984,no trend,n.s.
99,K-means,0,peak_mean,24,22.394287109375,-15.854793548583984,-0.2629764874776205,-2.136866251627604,1.3167033475988053,-1.2649974378240538,73.7390129963557,21.091120203336082,-0.043478260869565216,0.7849697273207377,no trend,n.s.
99,K-means,0,integrated_chl,24,22.394287109375,-15.854793548583984,-258.76774088541663,-706.93310546875,155.2490234375,-5.5667725928705645,56751.31846516927,4946.0167399088605,-0.2391304347826087,0.10689967587922089,no trend,n.s.
99,K-means,1,bg_mean,24,14.285174369812012,-16.7321720123291,0.05620665020412869,-0.810715170467601,1.0442447662353516,0.7064007032544563,-3.360443128479851,7.892128242386713,0.007246376811594203,0.9802109790485438,no trend,n.s.
99,K-means,1,peak_mean,24,14.285174369812012,-16.7321720123291,-3.37167493502299,-5.297276178995768,-1.4662386576334634,-17.722702394353988,697.911357732614,22.902035741011332,-0.4492753623188406,0.002281249640504912,decreasing,**
99,K-means,1,integrated_chl,24,14.285174369812012,-16.7321720123291,-792.126261393229,-1316.6650390625,-334.3154296875,-16.681879535603798,164243.04607137042,5659.368540445954,-0.4057971014492754,0.005899983624599869,decreasing,**
99,K-means,2,bg_mean,24,18.45952796936035,-15.562631607055664,-0.9414564479481091,-1.4547030131022134,-0.3559417724609375,-9.091012482776414,199.9181589430029,11.438578063791454,-0.4420289855072464,0.0026880064370089496,decreasing,**
99,K-means,2,peak_mean,24,18.45952796936035,-15.562631607055664,-3.6114830752603364,-7.1636962890625,0.03266016642252604,-9.557660081358756,764.9583854379217,41.93947377080235,-0.2898550724637681,0.05004866332140967,no trend,n.s.
99,K-means,2,integrated_chl,24,18.45952796936035,-15.562631607055664,-493.9186226981027,-957.01416015625,-18.22528545673077,-10.234761025608767,104276.40774666923,5393.899482509063,-0.2971014492753623,0.044520524087646285,decreasing,*
