cluster,year,threshold,n_pixels,n_bg,n_peak,bg_mean,peak_mean,peak_area_km2,integrated_chl,percentile,method
0,2002,54.558125572204546,18,17,1,9.996299743652344,58.62042999267578,21.0377254486084,1233.240478515625,99,HDBSCAN
0,2003,50.3366979217529,35,34,1,11.923490524291992,53.00909423828125,21.03461265563965,1115.0257568359375,99,HDBSCAN
0,2004,56.93408302307127,39,38,1,11.581160545349121,59.92866897583008,21.02835464477539,1260.2012939453125,99,HDBSCAN
0,2005,46.951261329650826,42,41,1,11.091197967529297,52.828330993652344,21.02835464477539,1110.892822265625,99,HDBSCAN
0,2006,39.134536743164006,49,48,1,11.566726684570312,45.93120574951172,21.02835464477539,965.857666015625,99,HDBSCAN
0,2007,40.36844261169432,29,28,1,10.187739372253418,44.601200103759766,21.0377254486084,938.3078002929688,99,HDBSCAN
0,2008,37.3019947052002,21,20,1,13.04455852508545,39.06838607788086,21.02835464477539,821.5438842773438,99,HDBSCAN
0,2009,59.99198684692376,36,35,1,10.663553237915039,77.36487579345703,21.043916702270508,1628.06005859375,99,HDBSCAN
0,2010,24.934036254882812,51,50,1,11.66698932647705,26.608131408691406,21.0377254486084,559.7745361328125,99,HDBSCAN
0,2011,44.428398361206064,48,47,1,10.96460247039795,47.31623840332031,21.03461265563965,995.2787475585938,99,HDBSCAN
0,2012,24.838883895874023,45,44,1,9.541459083557129,24.875072479248047,21.03461265563965,523.2374877929688,99,HDBSCAN
0,2013,49.11955642700195,51,50,1,11.370194435119629,64.77946472167969,15.726656913757324,1018.764404296875,99,HDBSCAN
0,2014,63.135389709472626,36,35,1,14.031692504882812,70.20805358886719,15.790262222290039,1108.603515625,99,HDBSCAN
0,2015,50.76189403533937,30,29,1,11.222017288208008,55.831390380859375,21.02835464477539,1174.042236328125,99,HDBSCAN
0,2016,42.91836547851561,50,49,1,10.952005386352539,46.608543395996094,21.0377254486084,980.5377197265625,99,HDBSCAN
0,2017,64.35986415863036,42,41,1,11.126388549804688,65.07352447509766,21.03461265563965,1368.79638671875,99,HDBSCAN
0,2018,37.7370769500733,38,37,1,9.805455207824707,46.23394775390625,19.639667510986328,908.0193481445312,99,HDBSCAN
0,2019,45.042489013671826,53,52,1,12.590246200561523,53.19260787963867,21.043916702270508,1119.380859375,99,HDBSCAN
0,2020,50.55011383056643,37,36,1,10.035289764404297,64.5700912475586,20.94978904724121,1352.729736328125,99,HDBSCAN
0,2021,42.88242984771726,47,46,1,11.971002578735352,53.16006088256836,20.94978904724121,1113.6920166015625,99,HDBSCAN
0,2022,29.373692207336425,43,42,1,10.960602760314941,29.818113327026367,20.94978904724121,624.6831665039062,99,HDBSCAN
0,2023,32.787835636138944,38,37,1,9.872207641601562,37.1938362121582,15.864089965820312,590.04638671875,99,HDBSCAN
0,2024,41.98387584686277,27,26,1,10.158636093139648,45.53243637084961,18.74141502380371,853.34228515625,99,HDBSCAN
0,2025,23.868497905731203,38,37,1,8.667032241821289,24.401866912841797,20.94978904724121,511.2139587402344,99,HDBSCAN
1,2002,21.90106338500975,172,170,2,12.429883003234863,25.406837463378906,37.58049011230469,954.4898681640625,99,HDBSCAN
1,2003,10.439903116226194,172,170,2,6.903781414031982,10.775964736938477,37.716156005859375,406.4422607421875,99,HDBSCAN
1,2004,11.881894693374626,172,170,2,7.306182384490967,13.351617813110352,37.53558349609375,501.08221435546875,99,HDBSCAN
1,2005,9.302867288589477,172,170,2,6.6716837882995605,10.270325660705566,38.801483154296875,397.21807861328125,99,HDBSCAN
1,2006,9.458988361358642,172,170,2,6.580046653747559,10.17875862121582,40.00939178466797,407.23876953125,99,HDBSCAN
1,2007,11.736489486694335,172,170,2,7.081304550170898,12.048791885375977,37.62503433227539,453.37176513671875,99,HDBSCAN
1,2008,10.530026912689209,172,170,2,7.193752288818359,10.692737579345703,39.991798400878906,427.6138916015625,99,HDBSCAN
1,2009,11.63104852676391,172,170,2,6.967145919799805,12.83462905883789,37.61151885986328,482.746337890625,99,HDBSCAN
1,2010,9.16740379333496,172,170,2,6.515989780426025,9.306329727172852,40.84357452392578,380.07147216796875,99,HDBSCAN
1,2011,10.424666709899894,172,170,2,6.885223865509033,11.439676284790039,37.80560302734375,432.4859313964844,99,HDBSCAN
1,2012,11.298892564773558,172,170,2,8.221039772033691,11.674406051635742,39.8760986328125,465.489501953125,99,HDBSCAN
1,2013,10.447675838470456,172,170,2,7.169944763183594,10.71268081665039,40.054534912109375,429.091064453125,99,HDBSCAN
1,2014,10.85683443069458,172,170,2,6.773794174194336,11.200916290283203,37.716156005859375,422.4291687011719,99,HDBSCAN
1,2015,10.90276593208313,172,170,2,7.6546101570129395,11.121526718139648,41.688941955566406,463.64678955078125,99,HDBSCAN
1,2016,10.119680175781243,172,170,2,6.511378288269043,11.067707061767578,37.76853942871094,418.0145568847656,99,HDBSCAN
1,2017,11.907338590621947,172,170,2,8.055822372436523,12.705938339233398,37.69389724731445,478.89532470703125,99,HDBSCAN
1,2018,10.259959096908569,172,170,2,6.350742340087891,10.857913970947266,38.827415466308594,422.28143310546875,99,HDBSCAN
1,2019,11.78532206535339,172,170,2,6.878688812255859,12.718070983886719,37.595375061035156,478.0515441894531,99,HDBSCAN
1,2020,12.745811777114866,172,170,2,7.285308361053467,13.019014358520508,37.716156005859375,491.02154541015625,99,HDBSCAN
1,2021,13.024803256988525,172,170,2,7.7714715003967285,13.234548568725586,38.821754455566406,513.6705322265625,99,HDBSCAN
1,2022,16.02119965553283,172,170,2,9.310765266418457,17.039207458496094,37.80560302734375,644.1749877929688,99,HDBSCAN
1,2023,13.791903553009027,172,170,2,9.778366088867188,14.417669296264648,38.788421630859375,559.1896362304688,99,HDBSCAN
1,2024,17.491778964996335,172,170,2,11.043686866760254,17.71649932861328,40.07698440551758,710.0238647460938,99,HDBSCAN
1,2025,13.301940946578974,172,170,2,8.823477745056152,13.995221138000488,39.899452209472656,558.371337890625,99,HDBSCAN
2,2002,21.480972557067876,954,944,10,5.897134780883789,23.936738967895508,204.40357971191406,4892.68115234375,99,HDBSCAN
2,2003,19.728389091491703,954,944,10,9.594314575195312,21.06894874572754,204.8184051513672,4315.2802734375,99,HDBSCAN
2,2004,14.515874795913698,954,944,10,7.517916202545166,18.650165557861328,207.03857421875,3864.069580078125,99,HDBSCAN
2,2005,18.660472736358656,954,944,10,7.23531436920166,19.854610443115234,204.0185546875,4050.761474609375,99,HDBSCAN
2,2006,17.291135749816895,954,944,10,8.929306983947754,18.284278869628906,204.40200805664062,3737.31494140625,99,HDBSCAN
2,2007,17.717552967071533,954,944,10,8.919342994689941,19.287246704101562,205.3877410888672,3961.48779296875,99,HDBSCAN
2,2008,18.30046642303467,954,944,10,9.819764137268066,19.626535415649414,205.50912475585938,4033.17919921875,99,HDBSCAN
2,2009,14.92081207275391,954,944,10,9.216109275817871,15.753804206848145,205.014892578125,3229.647705078125,99,HDBSCAN
2,2010,14.198377866744998,954,944,10,7.4546990394592285,14.932523727416992,207.6202850341797,3100.129638671875,99,HDBSCAN
2,2011,16.316207904815677,954,944,10,8.46514892578125,17.808563232421875,208.62249755859375,3717.5283203125,99,HDBSCAN
2,2012,15.497713041305543,954,944,10,7.078125953674316,16.35491371154785,204.2982635498047,3341.302734375,99,HDBSCAN
2,2013,16.372905139923102,954,944,10,7.99429988861084,17.334375381469727,210.6641387939453,3651.711669921875,99,HDBSCAN
2,2014,17.819968776702886,954,944,10,9.447824478149414,18.95661735534668,204.68621826171875,3880.184814453125,99,HDBSCAN
2,2015,15.555756731033327,954,944,10,7.792336463928223,16.907255172729492,205.21267700195312,3468.61572265625,99,HDBSCAN
2,2016,16.462179737091066,954,944,10,8.224658966064453,17.778913497924805,204.81324768066406,3641.11669921875,99,HDBSCAN
2,2017,16.97018827438355,954,944,10,8.683666229248047,18.037044525146484,204.3288116455078,3685.913330078125,99,HDBSCAN
2,2018,15.603948316574103,954,944,10,8.851924896240234,16.436424255371094,210.4655303955078,3458.850341796875,99,HDBSCAN
2,2019,16.99758255004883,954,944,10,10.112507820129395,18.9005184173584,206.27822875976562,3900.02685546875,99,HDBSCAN
2,2020,13.133466291427613,954,944,10,6.943314075469971,14.191085815429688,204.68838500976562,2904.7392578125,99,HDBSCAN
2,2021,11.008375053405763,954,944,10,5.994696140289307,12.068216323852539,205.50013732910156,2481.153076171875,99,HDBSCAN
2,2022,10.597926139831543,954,944,10,5.126248836517334,12.055813789367676,204.35362243652344,2462.09033203125,99,HDBSCAN
